word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
a m a n t a	61398	253293	6
a m a p i s	41256	196044	6
a m a r a x	49896	204021	6
a m a t a x	42120	178109	6
a m i t u	50832	154841	5
a m i t u ʧ a	109847	587518	7
a m i t u ŋ k o q a	145716	1834818	10
a m i t u ŋ k u t a p i s	222594	5175663	13
a m u l a j t a	85583	760966	8
a n a	10692	10692	3
a n a l i s a n a	105282	1237653	9
a n a l i s a j t a	112086	1707327	10
a ɲ a s k i t u	115548	1072788	8
a ɲ a s k i t u n t i n t a	296256	8243696	14
a ɲ a s k u	62916	332041	6
a ɲ a tʰ u j a	72306	441075	7
a ɲ a tʰ u j a s t a	112050	1694750	10
a ɲ a tʰ u j i t a	107406	1290254	9
a ɲ ʧ a	41292	63324	4
a ɲ ʧ a ɲ a t a x	115938	1258918	9
a ɲ ʧ a p u n i	120030	1075614	8
a ɲ ʧʰ a r a j k u	122328	1622470	9
a ɲ ʧ a t a	77922	348133	6
a ɲ ʧ a t a ʧ u	121878	1198870	8
a ɲ ʧ a t a ɲ a	108612	941800	8
a ɲ ʧ a t a p u n i	156660	2333110	10
a ɲ ʧ a t a p u n i ʧ a	201948	4317266	12
a ɲ ʧ a t a t a x	125874	1355974	9
a ɲ ʧ a t a x	89244	523318	7
a ɲ ʧ a j	53280	133866	5
a ɲ ʧʰ a j ʎ a t a ɲ a	136188	2502838	11
a ɲ ʧʰ a j m a n	71118	700572	8
a ɲ ʧʰ a j p a ʧ a ɲ a	124362	2272096	11
a ɲ ʧ a j p a x	78084	643425	8
a ɲ ʧ a j t a	77256	533623	7
a n t i s	72594	191754	5
a n t u ɲ a	106832	405830	6
a n t u ɲ a q a	128882	967462	8
a n t u ɲ a t a	139466	1139206	8
a n t u ɲ o q a	137378	1029358	8
a n t u ɲ u	116721	501090	6
a n t u ɲ u m a n t a w a n	255986	7675760	14
a n t u ɲ u t a q a	194048	2439911	10
a n t u ɲ u t a x	180620	1728333	9
a n u l a k u ʧ u n	217610	3123406	10
a n u l a k u n	147024	1332644	8
a n u l a k u n a m p a x	201276	4580912	13
a n u l a k u s q a n t a	224895	5672874	13
a n u l a ɴ q a ŋ k u	149888	2779530	11
a n u l a s a ŋ k u m a n	183969	4760998	13
a n u l a s q a ʧ u	145497	2256406	10
a n u l a s q a n t a	168339	2951452	11
a ɲ u tʰ i r i	130377	834534	7
a ŋ kʰ e r̞ q o s a x t i n t a x	232248	8483932	16
a ŋ k u	37835	68111	4
a ŋ k u ɲ a	85482	325298	6
a p a ʧ e r̞ q a	96520	795070	8
a p a ʧ e r̞ q a j k u	134230	2600010	11
a p a ʧ i k u n	130659	1133666	8
a p a ʧ i ʎ a ŋ k u t a x	208440	4786651	13
a p a ʧ i m u ŋ k u	131183	2018870	10
a p a ʧ i m u s a x	104916	1426778	10
a p a ʧ i m u s q a ŋ k u	161429	4405209	13
a p a ʧ i m u w a ŋ k u	163187	3792500	12
a p a ʧ i ŋ k u ɲ a	152460	2039458	10
a p a ʧ u n	80463	370135	6
a p a k a m p o r̞ q a n i	150428	4043688	13
a p a k a m p u s q a ŋ k u	165813	5284719	14
a p a k a m u x	67399	617276	8
a p a k a m u j k u	104490	1719822	10
a p a k a m u j t a w a n	156276	4281662	13
a p a k a p o ɴ q a	92688	1342179	10
a p a k a p o r̞ q a n i	145374	3279831	12
a p a k a p u ʎ a n t a x	186824	4492270	13
a p a k a p u n	90978	890069	8
a p a k a p u n a ŋ k u p a x	207619	6676461	15
a p a k a p u ŋ k u	130128	1997974	10
a p a k a p u ʃ a n	110976	1728095	10
a p a k a p u ʃ a ŋ k u	144491	3349342	12
a p a k a p u s p a	113520	1589306	10
a p a k a p u s q a	112392	1569479	10
a p a k a p u x t i ŋ k u	175340	4811291	13
a p a k o ɴ q a	72294	632275	8
a p a k o r̞ q a	98844	799240	8
a p a k o r̞ q a n i	127950	1902895	10
a p a k u n	76569	358013	6
a p a k u n a m p a x	130821	2057706	11
a p a k u n a n t a	157353	2173490	10
a p a k u s a n	94218	863543	8
a p a k u s p a	96762	779774	8
a p a k u j k u	97884	955232	8
a p a k u j t a w a n	149670	2820770	11
a p a ʎ a j k u t a x	145285	2340546	11
a p a m o r̞ q a	73052	623176	8
a p a m o r̞ q a n i	102158	1567327	10
a p a m o r̞ q a ŋ k u	121237	2317662	11
a p a m o r̞ q a j k u	110762	2184672	11
a p a m p i s	53040	375496	7
a p a m u ʎ a ŋ k u t a x	185305	4254744	13
a p a m u ʎ a x t a x	109465	1926074	11
a p a m u n	45417	261037	6
a p a m u n a	62643	412543	7
a p a m u n a ʧ u	103935	1310702	9
a p a m u n a ŋ k u p a x	162058	3778621	13
a p a m u n i	68385	463045	7
a p a m u n m a n	86172	1085022	9
a p a m u ŋ k i	82572	756590	8
a p a m u ŋ k i ʧ i x	150060	2389598	11
a p a m u ŋ k u	86597	816450	8
a p a m u ŋ k u ʧ a	143466	1874072	10
a p a m u ʃ a n i	81498	1032847	9
a p a m u s a ŋ k u	100757	1609002	10
a p a m u s p a	69786	607454	8
a p a m u s q a	68658	597615	8
a p a m u s q a n t a	127464	2258962	11
a p a m u s q a ŋ k u	116843	2247752	11
a p a m u s q a ŋ k u m a n	157332	4878420	14
a p a m u s q a ŋ k u t a	173712	4157451	13
a p a m u s q a q a	88008	1263742	10
a p a m u s q a j k e q a	127198	3232242	13
a p a m u w a s u ɲ ʧ i x	191405	4430232	13
a p a m u w a j k u	107136	1739252	10
a p a m u x	36601	184445	6
a p a m u x t i n	99242	1207934	9
a p a m u x t i j k u	119312	2382908	11
