word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
ʦʰ a ɢ a ŋ	73788	239723	5
tʰ ʊ ɮ t	76923	146363	4
χ a r	32967	32967	3
gʲ i n	22275	22275	3
a ɴ χ	19602	19602	3
a ʧ ə ɮ ɮ ə ʧ	231953	1535251	7
s a n ə ɮ	95769	342374	5
ʦ ɔ χ j ɔ ŋ	128904	647003	6
ʧʰ ʊ χ ə ɮ	99333	369174	5
ʦʰ i r gʲ i ŋ	117051	539482	6
p a r ʊ ŋ	95238	251306	5
x i r ə g	125171	383858	5
ʦ uu ŋ	25344	25344	3
i ŋ	0	0	2
g e r	41847	41847	3
a w ə r ɢ	102934	315681	5
χ a m tʰ	48675	98787	4
x e t	39897	39897	3
oo r o	65231	65231	3
ɔ ɮ ʧ	50061	50061	3
j a g	28710	28710	3
ɢ a r ʊ i	112332	336996	5
ʦ a ɮ ʊ	79365	153285	4
ʊ r tʰ	39072	39072	3
j a w ʧ	54054	112464	4
u n t ə s nʲ i	154071	1124071	7
u j	0	0	2
ɢ a r s ə ŋ	130462	565360	6
t i ɮ xʲ i ŋ	132891	587842	6
x u ɮ e ŋ	130314	369454	5
s a n a	55242	112662	4
mʲ i nʲ i	55506	106656	4
p ɔ ɮ t ə g	157620	704340	6
ɢ a t ə n	95418	288476	5
ɢ a n ʦʰ	50787	99147	4
ʃ i g ʃ e	94395	343634	5
tʰ i g e t	103008	350140	5
n a m a i g	108306	536256	6
p a i t ə ɮ	139096	667228	6
x uu	0	0	2
s a r t	73260	136190	4
a i m gʲ i ŋ	86625	455686	6
g e w ʧʰ	62868	125073	4
ɔ r ʧʰ ə m	125763	406378	5
p ɔ t ə ʧ	114111	350118	5
t a ɢ ʊ	54912	115269	4
g i t gʲ i g	104742	537216	6
e n t	32643	32643	3
tʰ o ɮ o	119325	229405	4
x ʊʊ ɮʲ i ŋ	116358	324907	5
u ʦ ə ʧ	82880	167129	4
n ʊ tʰ gʲ i ŋ	99462	464834	6
χ ɔ i t	78474	140412	4
tʰ ɔ t ə r χ ɔ i	244591	2357247	8
ʦ o w x ə ŋ	131278	647491	6
j i r ə ŋ xʲ i	158125	1103584	7
a s ʊ t ə ɮ	141538	737320	6
n e g	30537	30537	3
x i m e x	91575	341550	5
x e ɮ ʧ	95238	178002	4
tʰ i g e t	103008	350140	5
ɔ t ɔ	52111	52111	3
n a t ə t	101029	319066	5
i s r ə g	114811	356202	5
t ʊʊ	0	0	2
tʰ a ɮ	39072	39072	3
x u m u s i ŋ	148038	1012702	7
p ɔ ɮ ɢ ə ŋ	131091	574638	6
m ʊʊ	0	0	2
p a i t ɮ a r	179685	1182523	7
a r t	37851	37851	3
ʊ r ə ŋ	75295	129019	4
u g u i	75110	155696	4
ʊ ʧʰ ə r	85470	170940	4
pʲ i ʧʰ s ə ŋ	115643	502794	6
m i t ə ɮ ə ɮ	207171	1347437	7
a mʲ ə rʲ ə ɢ ə ŋ	220779	1845076	8
p a gʲ i ŋ	64350	196526	5
ʊ ɮ s ə t	108373	370030	5
n o g o	87290	170882	4
mʲ a ɴ ɢ ə ŋ	79354	405739	6
ɢ ʊ r w ə ŋ	120250	536803	6
ɔ r n	40959	40959	3
nʲ ii tʰ	29696	29696	3
χ ɔɔ r ə n t	160284	709204	6
i x ə ɮ s ə ŋ	188478	1194142	7
ʃ ʊʊ t	30752	30752	3
p a i w ə ɮ	120701	614418	6
tʰ e t	38688	38688	3
i r ʧ	40293	40293	3
aa	0	0	1
tʰ uu nʲ i	67860	136500	4
ɔ r ə s ə ŋ	159137	757574	6
ʦ ʊ r ə g	123950	376944	5
ʦ o w ʃ o r ə ɮ	263933	2532674	8
p u r ə ŋ	112258	291634	5
ɔ n ɔ s	77490	158342	4
t a r ɢ	69597	126017	4
ɔ ŋ	0	0	2
j i w r ə pʰ ə ŋ	174776	1582454	8
p a r ə g	112961	314718	5
ɢ a r ɢ ə ʧ	130832	647364	6
tʰ ɔɔ	0	0	2
j a w t ə ɮ	124599	670126	6
ʊ ɮ s	35409	35409	3
pʲ i ʦ	24288	24288	3
ɔ ɮ ə ŋ	86247	152995	4
x uu x ə t	121011	391818	5
n a r ə ŋ	108262	295474	5
n a i ʦ	64251	121275	4
s a i t	65340	124674	4
