word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
c u L u	5096	9800	4
c u l u	5460	10332	4
c u n k i L a	10174	70931	7
c u n u	4732	9268	4
c u N i	4704	9696	4
c u p a	3220	6388	4
c u p i k a	6944	33756	6
c u	0	0	2
c u r i	5488	10864	4
c u r k u	5880	19628	5
c u r u	5096	9800	4
c u s i	4312	9112	4
c u t a	3864	7296	4
c u w a	2898	5934	4
c u w i	3528	7944	4
c u y k u	4200	16060	5
c u y m a	4180	14628	5
h a z a	2640	4917	4
h a z i	3300	6612	4
h a z u	3036	5934	4
h a c a	2640	4917	4
h a C i w a	7031	29622	6
h a c u	3036	5934	4
h a X a P u	2717	17582	6
h a X a p u	2530	16694	6
h a g a	1980	3960	4
h a g u	2277	4797	4
h a k a	1980	3960	4
h a K u	2530	5176	4
h a k i	2475	5355	4
h a l i	4125	7869	4
h a l X a	2475	8226	5
h a l X i	2700	10746	5
h a L i	3850	7450	4
h a L m u	4886	15242	5
h a L p a	4466	13085	5
h a L G a	4466	13085	5
h a L G e	5166	16680	5
h a L q a	4466	13085	5
h a L u	3542	6692	4
h a l s u	5610	16850	5
h a l t a	5445	15282	5
h a l u	3795	7071	4
h a m a	2200	4279	4
h a m z a	3630	11827	5
h a m z i	4230	15122	5
h a m b a	3190	10569	5
h a m b i	3690	13564	5
h a m u	2530	5176	4
h a n a	2860	5236	4
h a n z a	4719	13900	5
h a n z i	5499	17675	5
h a n z u	5187	16165	5
h a n c i	5499	17675	5
h a n i	3575	7031	4
h a n g a	3861	11734	5
h a n G o	4407	13834	5
h a n d a k u	7293	49706	7
h a n t a	4719	13900	5
h a b a	2200	4279	4
h a p i	2750	5774	4
h a p u	2530	5176	4
h a q e	2750	5774	4
h a Q e	3025	6193	4
h a q o	2420	4877	4
h a	0	0	2
h a r i	3850	7450	4
h a r g a	4158	12332	5
h a r g i	4788	15757	5
h a r P i	5544	17603	5
h a r Q a	4774	13838	5
h a r u	3542	6692	4
h a r w i	4788	15757	5
h a s a	2420	4598	4
h a s i	3025	6193	4
h a s k a	3267	10538	5
h a s t a	3993	12518	5
h a s T a	4235	13178	5
h a d i	3300	6612	4
h a T a	2860	5236	4
h a T i	3575	7031	4
h a t u	3036	5934	4
h a w a	1980	3960	4
h a w z a	3267	11136	5
h a w i	2475	5355	4
h a w G a	2871	9940	5
h a w	891	891	3
h a w r i	4293	15757	5
h a w s a	3069	10538	5
h a y a	2200	4279	4
h a y c a	3630	11827	5
h a y i	2750	5774	4
h a y b u	3490	12366	5
h a y P u	3740	13085	5
h a y	990	990	3
h a y r i	4770	16680	5
h a y u	2530	5176	4
h e m G e	4640	17284	5
h e G e	4000	7744	4
h e w G e	4176	16330	5
h i z i	4800	8832	4
h i c a	3840	6612	4
h i C a	4160	7031	4
h i C u	4784	8438	4
h i g i	3600	7200	4
h i g u	3312	6462	4
h i K a	3200	5774	4
h i k i	3600	7200	4
h i l a	4800	7869	4
h i l i	6000	10464	4
h i L G e	6496	21100	5
h i L u	5152	8932	4
h i l G e	6960	22054	5
h i l d a	7020	19377	5
h i n c u	6552	20450	5
h i n G e	6032	20146	5
h i n t a	6084	17675	5
h i n t i l i	13584	91615	7
h i P i	4400	8288	4
h i p i	4000	7744	4
h i r i	5600	9920	4
h i r u	5152	8932	4
h i s i	4400	8288	4
h i s g a	4257	13528	5
h i s K a	4554	14343	5
h i s K i	5104	18238	5
h i s K u	4884	16680	5
h i s p i	5104	18238	5
h i s G e	5104	18238	5
h i s t a	5148	15973	5
h i T i	5200	9376	4
h i t u	4416	7944	4
h i w a	2880	5355	4
h i w g i	3888	15417	5
h i w k a y a	5683	42090	7
h i w G e	4176	16330	5
h i w t a	4212	14271	5
h i y a	3200	5774	4
h i y i	4000	7744	4
h o G o	2860	5551	4
h o Q o	3146	5954	4
h o r Q e	6104	19449	5
h o s G o	4147	13834	5
h u z u s a	7406	32693	6
h u c a	3360	5934	4
h u C a	3640	6313	4
h u C i	4550	8438	4
h u c i	4200	7944	4
h u g a	2520	4797	4
h u k u	2898	5796	4
h u L u	4508	8036	4
h u m a	2800	5176	4
h u m i n d a	9792	61615	7
h u m b i	4260	15796	5
h u m b u	4060	14424	5
h u n z u	6006	18736	5
h u n i	4550	8438	4
h u n X a	2613	8776	5
h u n d a	5538	16165	5
h u n d u	6006	18736	5
h u n u	4186	7588	4
h u N i	4200	7944	4
h u p a	2800	5176	4
h u P a	3080	5555	4
h u p i	3500	6956	4
h u	0	0	2
h u r i	4900	8932	4
h u r g u	5292	16730	5
h u r m a	5264	15242	5
h u r n u	6860	20594	5
h u r p a	5264	15242	5
h u r p i	5964	19332	5
h u r q e	5964	19332	5
h u r u	4508	8036	4
h u s i	3850	7450	4
h u s k u s i	8008	59168	7
h u s P a	4411	13838	5
h u d i	4200	7944	4
h u d u	3864	7140	4
h u t a	3360	5934	4
h u T a	3640	6313	4
h u T a w i	6511	33606	6
h u t i	4200	7944	4
h u w m i	3834	14912	5
h u y a	2800	5176	4
h u y K u	4060	14424	5
h u y P i	4560	16680	5
h u y	1260	1260	3
g a c a	2640	4917	4
g a c i	3300	6612	4
g a h a	1980	3960	4
g a h i	2475	5355	4
g a h k i	3078	12042	5
g a h L i	4293	15757	5
g a h L u	4041	14387	5
g a X a	660	2046	4
g a X i	825	2841	4
g a k a L i	5830	30860	6
g a k i	2475	5355	4
g a k u n a	5917	27386	6
g a l a	3300	5874	4
g a L a	3080	5555	4
g a L i	3850	7450	4
