word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
ee v ee n tj u rj I s t	1131182	18724862	10
ee v ee n tj u rj i s tj I chj i s kj i j	1838893	89378671	17
ee v ee n tj u rj i s tj I chj n i j	1694695	62970162	15
ee v ee n tj u rj I s t k ee	1341362	29776133	12
ee v ee n tj u rj I s t s kj i j	1663265	52712760	14
ee v ee n tj U r n ee s tj	1275317	25655408	11
ee v ee n tj U r n i j	1007846	16377692	10
ee v A r	247520	598610	4
ee v A rj i ts	563104	2893210	6
ee v ee rj I j n ee s tj	1274121	20413790	10
ee v ee rj I j n i j	1015650	12517616	9
ee v ee rj I j shshj i k	1054306	11221008	9
ee v A rj i j i	659119	4564532	7
ee v A r k ee	455933	2284540	6
ee v A r s kj i j	751553	7574742	8
A v gj i j i f	476329	3292606	7
ee v gj I t	292744	1106392	5
ee v g U r	310417	1332146	5
A v g u s t	404082	2263296	6
ee v g u s tj E j sh i j	1157933	22395682	11
ee v g u s tj I nj i ts	871364	13968542	10
A v g u s t ee f s kj i j	1144533	25554393	12
ee v d O t k ee	742420	4623804	7
ee vj E r s	502632	1891350	5
ee vj i s tj I j s kj i j	1111284	22024174	11
A vj i a b A z ee	608942	6214796	8
A vj i a bj i n zj I n	834411	12278692	10
A vj i a g ee rj i z O n t	1285273	28117384	12
A vj i a d vj I g ee tj i lj	1191907	28935636	12
A vj i a dj i s A n t	849049	13598226	10
A vj i a dj i s A n t n i j	1175344	32519636	13
A vj i a z ee v O t	880269	10400334	9
A vj i a k ee n s t r U k t ee r	1580805	55240855	15
A vj i a lj I nj i j i	784496	12116574	10
A vj i a m A t k ee	472656	5898956	9
A vj i a m ee dj i lj I z m	1373829	29659196	12
A vj i a m ee dj i lj I s t	1309425	29429317	12
A vj i a m ee dj E lj	863511	10666745	9
A vj i a m ee dj E lj n i j	1269366	27355126	12
A vj i a m ee t O r	666561	8820112	9
A vj i a m ee t O r n i j	1051581	23624592	12
ee vj i a n O sj i ts	648575	8542755	9
A vj i a p O chj t ee	590160	7198254	9
A vj i a p rj i b O r	888642	14728257	10
A vj i a p r ee m I sh lj i n n ee s tj	1769591	84585970	17
A vj i a p r ee m I sh lj i n n i j	1519220	62969024	16
A vj i a r ee z vj E t k ee	1483954	29019954	12
A vj i a s t r ee j E nj i j i	1678908	45795888	14
A vj i a s t r ee I tj i lj	1468407	32794371	12
A vj i a s t r ee I tj i lj n i j	1866342	64480404	15
A vj i a s t r ee I tj i lj s t v ee	2411463	89056954	16
A vj i a s j O m k ee	730656	10457475	10
A vj i a tj E x nj i k	630672	8981418	10
ee vj i A t ee r	576249	4753766	7
ee vj i A t ee r s kj i j	1151496	21408162	11
A vj i a t r A n s p ee r t	1417818	39887262	13
A vj i a t r A n s p ee r t n i j	1846713	75316047	16
A vj i a t r A s s ee	1105929	16235586	10
ee vj i a ts i O n n i j	732738	15379080	11
ee vj i A ts i j i	547896	5493310	8
A vj i a chj A s tj	532801	5721076	8
A vj i a sh k O l ee	590781	8068068	9
ee vj i j E t k ee	630279	5914533	8
ee vj I z n i j	687006	5142428	7
ee vj i t ee mj i n O s	748869	12515777	10
ee vj i t ee mj i n O z n i j	1203639	33858465	13
ee vj i f A u n ee	459105	4749389	8
ee v O sj k ee	419137	2089108	6
ee v r A l	610714	2051525	5
ee v r A lj i tj	940656	6543498	7
ee v r A lj n i j	1010879	9693318	8
ee v r A n	503478	1386335	5
ee f s t r ee lj I j i ts	1838446	31459550	11
ee f s t r ee lj I j k ee	1776769	28597591	11
ee f s t r ee lj I j s kj i j	2041219	51195294	13
ee f s t r A l ee pj i tj E k	1702967	39885600	13
ee f s t rj I j i ts	1322082	14702042	9
ee f s t rj I j k ee	1260405	13028562	9
ee f s t rj I j s kj i j	1524855	27163276	11
ee f s t rj i j A k	1254786	12015982	9
ee f s t rj i j A chj k ee	1430340	23060188	11
A f s t r ee vj i n gj E r s kj i j	2113203	80130564	16
ee f t ee r kj I chj i s kj i j	1213204	33512040	13
ee f t ee r kj I j i	889483	10490207	9
ee f t ee b A z ee	861242	8633942	8
A f t ee bj i o g r ee fj I chj i s kj i j	1766854	91579024	18
A f t ee bj i o g r ee fj I chj n ee s tj	1876177	86796161	17
A f t ee bj i o g r ee fj I chj n i j	1622656	64828849	16
A f t ee bj i o g r A fj i j i	1333037	39895464	14
A f t ee b l ee kj i r O f k ee	1535292	43846199	14
A f t ee b l ee kj i r O v ee chj n i j	1955012	89125732	17
ee f t O b u s	597540	4427546	7
ee f t O b u s nj i k	880692	12228752	10
ee f t O b u s n i j	916275	14681435	10
A f t ee v ee k ts I n ee	938796	16626814	11
ee f t ee vj i s I	774609	6934054	8
A f t ee v ee g z A l	1216415	18834540	10
ee f t ee g A mj i j i	760850	11369804	10
ee f t ee gj E n	563184	3702820	7
A f t ee gj i nj E s	713081	8698990	9
A f t ee gj i nj i r A t ee r	1337059	37204052	13
ee f t ee gj E n n i j	821979	12905832	10
ee f t ee gj E n shshj i k	841771	11607272	10
A f t ee gj i p n O s	750431	11504350	10
A f t ee g O n kj i	624073	6529016	9
