projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[+wb][-syllabic][-syllabic]	14.808	0	0	25,700.563	25,700.631	null	(<#|#>)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[-continuant][-syllabic][-syllabic]	12.792	0	0	25,557.657	25,557.725	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+palatal][-low,-high][+wb]	13.207	0	0	25,429.983	25,430.053	null	(c|z|C|S|N|L)(e|o)(<#|#>)
default	[-sonorant,+dental][-low,-high][+wb]	13.156	0	0	25,301.992	25,302.064	null	(t|d|T|s)(e|o)(<#|#>)
default	[-syllabic,+continuant][-syllabic][-syllabic]	12.619	0	0	25,196.244	25,196.316	null	(s|S|x|h|l|L)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[-low,-high][-low][+wb]	12.11	0	0	25,097.897	25,097.971	null	(e|o)(y|w|i|u|e|o)(<#|#>)
default	[-wb][+labial][-low,-back,-high]	12.111	0	0	25,013.463	25,013.539	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(p|b|P|m)(e)
default	[-syllabic][-syllabic][+wb]	12.763	0	0	25,056.256	25,056.331	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(<#|#>)
default	[+syllabic,+back,+high][-sonorant][-low,-high]	12.437	0	0	26,829.437	26,829.514	null	(u)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h)(e|o)
default	[+wb][+back][+wb]	11.604	0	0	24,832.736	24,832.814	null	(<#|#>)(w|u|o)(<#|#>)
