projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[-wb][+labial][-low,-back,-high]	11.089	0	0	25,129.672	25,129.732	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(p|b|P|m)(e)
default	[-sonorant,-continuant][-continuant][-low]	12.421	0	0	25,071.817	25,071.878	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)(y|w|i|u|e|o)
default	[-low,-high][+continuant,+sg]	12.258	0	0	27,037.198	27,037.261	null	(e|o)(h)
default	[+wb][+back][+wb]	11.585	0	0	24,960.763	24,960.827	null	(<#|#>)(w|u|o)(<#|#>)
default	[+copy][][-low]	12.153	0	0	24,904.967	24,905.032	null	(X)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(y|w|i|u|e|o)
default	[+high][+sg][-low,-high]	11.413	0	0	24,850.811	24,850.878	null	(y|w|i|u)(P|T|C|K|Q|h)(e|o)
default	[-low][-low][-low,-high]	12.208	0	0	24,801.171	24,801.24	null	(y|w|i|u|e|o)(y|w|i|u|e|o)(e|o)
default	[+wb][-low,-back,-high][+sonorant]	12.008	0	0	24,754.56	24,754.63	null	(<#|#>)(e)(m|n|N|r|l|L|i|u|a|e|o)
default	[+wb][+sonorant,-continuant,+dental][-low,-high]	12.334	0	0	24,709.789	24,709.861	null	(<#|#>)(n|r)(e|o)
default	[+plain][][+cg]	12.082	0	0	26,271.633	26,271.706	null	(p|t|c|k|q)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(b|d|z|g|G)
default	[+wb][-high][+wb]	12.224	0	0	24,625.794	24,625.869	null	(<#|#>)(a|e|o)(<#|#>)
default	[+wb][-back][+cg]	12.019	0	0	24,581.667	24,581.743	null	(<#|#>)(y|i|a|e)(b|d|z|g|G)
default	[+syllabic,-back][+sonorant][+back,-high]	11.969	0	0	25,797.764	25,797.842	null	(i|a|e)(m|n|N|r|l|L|i|u|a|e|o)(o)
default	[+wb][-syllabic][+wb]	11.585	0	0	24,513.662	24,513.741	null	(<#|#>)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(<#|#>)
default	[-syllabic][-syllabic,+sonorant][-syllabic]	12.185	0	0	24,469.816	24,469.896	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(m|n|N|r|l|L)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+plain][][-continuant,+sg]	12.132	0	0	24,425.969	24,426.05	null	(p|t|c|k|q)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(P|T|C|K|Q)
default	[+wb][-low,-high][-sonorant,+dental]	12.218	0	0	24,384	24,384.082	null	(<#|#>)(e|o)(t|d|T|s)
default	[+wb][-low,-high][-low]	12.01	0	0	24,343.339	24,343.423	null	(<#|#>)(e|o)(y|w|i|u|e|o)
default	[+velar][-low,-high][-wb]	12.112	0	0	24,301.614	24,301.7	null	(k|g|K)(e|o)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)
default	[+wb][][+copy]	12.139	0	0	24,262.979	24,263.066	null	(<#|#>)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(X)
