x	hx	logProbx	[]	[-sonorant,-ant]	[+sg]	[-nas,+lab]	[-sonorant,+ant]	[-cons,+cor]	[+sonorant,-cont]	[+cons,+dor]	[-high,-low]	[-sg,-ant]	[+cont,+voice,+cor]	[-voice,+ant,-secart]	[-syll,-nas][+cons]	[-syll][+wb]	[-low][+wb]	[+syll][+back]	[+wb][+syll]	[+syll,-low][+syll,-back]	[-syll,+sonorant][+cons,+sonorant]	[-syll][-voice]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-wb][+delrel,+lab]	[+wb][-syll,+sonorant]	[+cons,+lab][+low]	[+wb][+voice,-sg]	[+sonorant,-sg,+ant][+low]	[+high][][-high,-low]	[-high,-low][][+high]	[+low][][-high,-low]	[+wb][-nas,+dor][-back]	[-cont,+cor][-nas,+dor]	[-high,-back][][-high,-low,+back]	[-syll][+delrel,-sg]	[-delrel,+cor][][+wb]	[-ant][][+wb]	[-nas,+lab][][+wb]	[+delrel,+voice,+cor][][-sonorant]	violated_constraints
dh o n j a b a	-10.143	-19.119	9	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
ts o g w o bh a	-10.926	-19.903	9	0	1	2	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+cons,+dor], [-high,-low], [-voice,+ant,-secart], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], 
w e n j u zv a	-12.468	-21.444	9	2	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	[], [-sonorant,-ant], [-nas,+lab], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], [+wb][-syll,+sonorant], [+wb][-nas,+dor][-back], [-ant][][+wb], [+delrel,+voice,+cor][][-sonorant], 
mh o n z i pf a	-10.441	-19.418	9	0	1	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], [-wb][+delrel,+lab], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-nas,+lab][][+wb], 
sv u n j u ts a	-6.711	-15.687	9	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-voice,+ant,-secart], [+delrel,+voice,+cor][][-sonorant], 
bh u n z i ts a	-6.686	-15.663	9	0	1	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [+cont,+voice,+cor], [-voice,+ant,-secart], 
p u n z o pf a	-7.234	-16.211	9	0	0	2	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], [-wb][+delrel,+lab], [+cons,+lab][+low], [-nas,+lab][][+wb], 
g a k w e z a	-3.23	-12.207	9	0	0	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+cons,+dor], [-high,-low], [+cont,+voice,+cor], [+wb][+voice,-sg], 
zh i k w e vh a	-9.81	-18.787	9	1	1	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [+cons,+dor], [-high,-low], [+cont,+voice,+cor], [+cons,+lab][+low], [-nas,+lab][][+wb], 
mh o m b e t a	-5.83	-14.806	9	0	1	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+wb][-syll,+sonorant], [-delrel,+cor][][+wb], 
