x	hx	logProbx	[]	[-sonorant,-ant]	[+sg]	[-nas,+lab]	[-sonorant,+ant]	[-cons,+cor]	[+sonorant,-cont]	[+cons,+dor]	[-high,-low]	[-sg,-ant]	[+cont,+voice,+cor]	[-voice,+ant,-secart]	[-syll,-nas][+cons]	[-syll][+wb]	[-low][+wb]	[+syll][+back]	[+wb][+syll]	[+syll,-low][+syll,-back]	[-syll,+sonorant][+cons,+sonorant]	[-syll][-voice]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-wb][+delrel,+lab]	[+wb][-syll,+sonorant]	[+cons,+lab][+low]	[+wb][+voice,-sg]	[+sonorant,-sg,+ant][+low]	[+high][][-high,-low]	[-high,-low][][+high]	[+low][][-high,-low]	[+wb][-nas,+dor][-back]	[-cont,+cor][-nas,+dor]	[-high,-back][][-high,-low,+back]	[-syll][+delrel,-sg]	[-delrel,+cor][][+wb]	[-ant][][+wb]	[-nas,+lab][][+wb]	[+delrel,+voice,+cor][][-sonorant]	violated_constraints
f a dz o ts a	-8.813	-17.789	8	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	[], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-voice,+ant,-secart], [+cons,+lab][+low], [+low][][-high,-low], [+delrel,+voice,+cor][][-sonorant], 
v a v u t a	-4.128	-13.105	8	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+cons,+lab][+low], [+wb][+voice,-sg], [-delrel,+cor][][+wb], 
zv a dz a dzv a	-8.798	-17.774	8	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	[], [-sonorant,-ant], [-sonorant,+ant], [+cont,+voice,+cor], [-ant][][+wb], [+delrel,+voice,+cor][][-sonorant], 
sh e zv i dzv a	-10.954	-19.931	8	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-high,-low], [+cont,+voice,+cor], [-high,-low][][+high], [-ant][][+wb], 
dzv e vh i pf a	-12.824	-21.801	8	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-high,-low], [-wb][+delrel,+lab], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
bv a ny e s a	-8.77	-17.746	8	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [-voice,+ant,-secart], [+cons,+lab][+low], [+wb][+voice,-sg], [+low][][-high,-low], 
ny u w o t a	-13.111	-22.087	8	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+syll][+back], [+wb][-syll,+sonorant], [+high][][-high,-low], [-delrel,+cor][][+wb], 
sv i bh o zv a	-15.785	-24.762	8	2	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-high,-low], [+cont,+voice,+cor], [+high][][-high,-low], [-ant][][+wb], 
nh u vh i dh a	-10.773	-19.75	8	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [+wb][-syll,+sonorant], [-delrel,+cor][][+wb], 
tsv a d a p a	-6.116	-15.093	8	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [-nas,+lab][][+wb], 
n i b i zh a	-8.365	-17.341	8	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [+sonorant,-cont], [+cont,+voice,+cor], [-nas][-delrel,+voice,-sg], [+wb][-syll,+sonorant], [-ant][][+wb], 
g a k o w a	-10.839	-19.816	8	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	[], [-nas,+lab], [+cons,+dor], [-high,-low], [+syll][+back], [+wb][+voice,-sg], [+low][][-high,-low], [-nas,+lab][][+wb], 
ny u zv o t a	-12.717	-21.694	8	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+cont,+voice,+cor], [+wb][-syll,+sonorant], [+high][][-high,-low], [-delrel,+cor][][+wb], 
v a p e t a	-8.395	-17.372	8	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [-high,-low], [+cons,+lab][+low], [+wb][+voice,-sg], [+low][][-high,-low], [-delrel,+cor][][+wb], 
ny a pf u tsv a	-7.575	-16.551	8	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [+sonorant,-cont], [-sg,-ant], [-wb][+delrel,+lab], [+wb][-syll,+sonorant], [-ant][][+wb], 
nh e n i mh a	-8.947	-17.923	8	0	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	[], [+sg], [+sonorant,-cont], [-high,-low], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-high,-low][][+high], 
dy o N e d a	-9.389	-18.366	8	1	0	0	1	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [+cons,+dor], [-high,-low], [-sg,-ant], [+cons,+sonorant,+dor][+sonorant], [-nas][-delrel,+voice,-sg], [+wb][+voice,-sg], [-delrel,+cor][][+wb], 
t u zh o vh a	-14.86	-23.837	8	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sonorant,+ant], [-high,-low], [+cont,+voice,+cor], [+cons,+lab][+low], [+high][][-high,-low], [-nas,+lab][][+wb], 
mh e n i vh a	-11.132	-20.108	8	0	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [+sonorant,-cont], [-high,-low], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], 
tsv o h a nh a	-6.862	-15.839	8	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [+sonorant,-cont], [-high,-low], 
y u r u m a	-5.212	-14.188	8	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-cons,+cor], [+sonorant,-cont], [+wb][-syll,+sonorant], [+cons,+lab][+low], 
dy a z a dz a	-5.27	-14.247	8	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [-sg,-ant], [+cont,+voice,+cor], [+wb][+voice,-sg], 
dy e d i d a	-9.251	-18.228	8	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [-high,-low], [-sg,-ant], [-nas][-delrel,+voice,-sg], [+wb][+voice,-sg], [-high,-low][][+high], [-delrel,+cor][][+wb], 
j u m o sh a	-10.856	-19.832	8	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sonorant,-cont], [-high,-low], [+high][][-high,-low], [-ant][][+wb], 
ts u n e vh a	-12.805	-21.781	8	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-voice,+ant,-secart], [+cons,+lab][+low], [+high][][-high,-low], [-nas,+lab][][+wb], 
h o dh e dz a	-5.229	-14.206	8	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-sonorant,+ant], [-high,-low], 
r u bv a ch a	-7.72	-16.697	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [-wb][+delrel,+lab], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-ant][][+wb], 
tsv i d u dz a	-3.1	-12.077	8	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [-nas][-delrel,+voice,-sg], 
bv e z u f a	-8.129	-17.105	8	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	[], [-nas,+lab], [-sonorant,+ant], [-high,-low], [+cont,+voice,+cor], [+cons,+lab][+low], [+wb][+voice,-sg], [-high,-low][][+high], [-nas,+lab][][+wb], 
d i vh i sh a	-7.324	-16.301	8	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sonorant,+ant], [+wb][+voice,-sg], [-ant][][+wb], 
h u b u ch a	-7.791	-16.768	8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-nas][-delrel,+voice,-sg], [-ant][][+wb], 
tsv a dz o y a	-9.276	-18.253	8	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [-cons,+cor], [-high,-low], [+low][][-high,-low], 
nh e r o r a	-17.471	-26.448	8	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	[], [+sg], [+sonorant,-cont], [-high,-low], [+wb][-syll,+sonorant], [-high,-back][][-high,-low,+back], 
N o h i d a	-11.612	-20.589	8	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	[], [+sg], [-sonorant,+ant], [+sonorant,-cont], [+cons,+dor], [-high,-low], [+cons,+sonorant,+dor][+sonorant], [-nas][-delrel,+voice,-sg], [+wb][-syll,+sonorant], [-high,-low][][+high], [-delrel,+cor][][+wb], 
j u ny a s a	-4.213	-13.19	8	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-sg,-ant], [-voice,+ant,-secart], 
zv i sh u zv a	-11.019	-19.996	8	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+cont,+voice,+cor], [-ant][][+wb], 
ty i v u dy a	-10.068	-19.044	8	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [-sg,-ant], [-nas][-delrel,+voice,-sg], [-delrel,+cor][][+wb], [-ant][][+wb], 
bh o t a k a	-3.072	-12.048	8	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+cons,+dor], [-high,-low], 
nh i bv a r a	-6.667	-15.644	8	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [+sonorant,-cont], [-wb][+delrel,+lab], [+wb][-syll,+sonorant], [+cons,+lab][+low], 
ny a z i p a	-6.93	-15.906	8	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-sg,-ant], [+cont,+voice,+cor], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-nas,+lab][][+wb], 
nh o n o h a	-6.283	-15.259	8	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+sonorant,-cont], [-high,-low], [+wb][-syll,+sonorant], 
dzv i ch o pf a	-15.241	-24.218	8	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	[], [-sonorant,-ant], [-nas,+lab], [-high,-low], [-wb][+delrel,+lab], [+cons,+lab][+low], [+high][][-high,-low], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
s o b e ty a	-9.377	-18.353	8	1	0	1	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-sg,-ant], [-voice,+ant,-secart], [-nas][-delrel,+voice,-sg], [-delrel,+cor][][+wb], [-ant][][+wb], 
d i s a sv a	-6.058	-15.035	8	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [-voice,+ant,-secart], [+wb][+voice,-sg], [-ant][][+wb], 
f u f a w a	-7.634	-16.61	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-nas,+lab], [+syll][+back], [+cons,+lab][+low], [-nas,+lab][][+wb], 
ts u mh o z a	-11.74	-20.717	8	0	1	0	2	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], [-voice,+ant,-secart], [+high][][-high,-low], 
dh a ty i b a	-9.367	-18.344	8	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sonorant,+ant], [-sg,-ant], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [-nas,+lab][][+wb], 
d u g u zv a	-7.538	-16.514	8	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+cons,+dor], [+cont,+voice,+cor], [-nas][-delrel,+voice,-sg], [+wb][+voice,-sg], [-ant][][+wb], 
b e p u y a	-6.722	-15.699	8	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	[], [-nas,+lab], [-cons,+cor], [-high,-low], [+wb][+voice,-sg], [-high,-low][][+high], 
sv i dh u k a	-4.337	-13.313	8	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [-sonorant,+ant], [+cons,+dor], 
tsv a bv a dy a	-11.884	-20.861	8	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [-sg,-ant], [-nas][-delrel,+voice,-sg], [-wb][+delrel,+lab], [+cons,+lab][+low], [-delrel,+cor][][+wb], [-ant][][+wb], 
zv i r u N a	-6.934	-15.911	8	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sonorant,-cont], [+cons,+dor], [+cont,+voice,+cor], [+cons,+sonorant,+dor][+sonorant], 
h a f u dy a	-10.087	-19.064	8	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sg,-ant], [-nas][-delrel,+voice,-sg], [-delrel,+cor][][+wb], [-ant][][+wb], 
tsv o zh a nh a	-8.064	-17.041	8	2	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], 
dy u tsv u p a	-8.061	-17.037	8	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	[], [-sonorant,-ant], [-nas,+lab], [-sg,-ant], [+cons,+lab][+low], [+wb][+voice,-sg], [-nas,+lab][][+wb], 
vh u dz o bh a	-15.571	-24.548	8	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	[], [+sg], [-nas,+lab], [-sonorant,+ant], [-high,-low], [+cons,+lab][+low], [+high][][-high,-low], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
zh u ts e ts a	-12.658	-21.635	8	1	0	0	2	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [-high,-low], [+cont,+voice,+cor], [-voice,+ant,-secart], [+high][][-high,-low], 
mh e N o ts a	-22.394	-31.371	8	0	1	0	1	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	[], [+sg], [-sonorant,+ant], [+sonorant,-cont], [+cons,+dor], [-high,-low], [-voice,+ant,-secart], [+cons,+sonorant,+dor][+sonorant], [+wb][-syll,+sonorant], [-high,-back][][-high,-low,+back], 
ty o n e s a	-4.311	-13.288	8	1	0	0	1	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [-voice,+ant,-secart], 
dzv e sh u r a	-6.885	-15.862	8	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	[], [-sonorant,-ant], [-high,-low], [-high,-low][][+high], [+delrel,+voice,+cor][][-sonorant], 
j i ny a ny a	-5.034	-14.01	8	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sonorant,-cont], [-sg,-ant], [-ant][][+wb], 
dz o nh o mh a	-6.788	-15.765	8	0	2	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cons,+lab][+low], [+wb][+voice,-sg], 
b o g e sv a	-6.096	-15.073	8	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [+cons,+dor], [-high,-low], [-nas][-delrel,+voice,-sg], [+wb][+voice,-sg], [-ant][][+wb], 
d o t a ny a	-3.399	-12.376	8	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+wb][+voice,-sg], [-ant][][+wb], 
ny i dz o v a	-11.945	-20.922	8	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	[], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+wb][-syll,+sonorant], [+cons,+lab][+low], [+high][][-high,-low], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
w e w u t a	-11.279	-20.256	8	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [-high,-low], [+syll][+back], [+wb][-syll,+sonorant], [-high,-low][][+high], [+wb][-nas,+dor][-back], [-delrel,+cor][][+wb], 
g a k a nh a	-3.249	-12.226	8	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+sonorant,-cont], [+cons,+dor], [+wb][+voice,-sg], 
j o s i v a	-9.887	-18.864	8	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-voice,+ant,-secart], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
ch o ch u z a	-7.425	-16.402	8	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [-high,-low], [+cont,+voice,+cor], [-high,-low][][+high], 
m a dh u f a	-7.644	-16.621	8	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-nas,+lab][][+wb], 
f o dh a s a	-4.784	-13.76	8	0	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [-high,-low], [-voice,+ant,-secart], 
bh u s u n a	-6.115	-15.092	8	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-voice,+ant,-secart], [+sonorant,-sg,+ant][+low], 
dzv e p u b a	-9.872	-18.848	8	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	[], [-sonorant,-ant], [-nas,+lab], [-high,-low], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], [-high,-low][][+high], [-nas,+lab][][+wb], [+delrel,+voice,+cor][][-sonorant], 
t i ny e ny a	-8.818	-17.795	8	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [-sg,-ant], [+high][][-high,-low], [-ant][][+wb], 
vh i n i j a	-6.551	-15.528	8	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [+sonorant,-cont], [-ant][][+wb], 
s i t a tsv a	-5.33	-14.307	8	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [-voice,+ant,-secart], [-ant][][+wb], 
vh a dy i h a	-10.115	-19.092	8	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sg,-ant], [-nas][-delrel,+voice,-sg], [+cons,+lab][+low], 
sv u h u k a	-4.292	-13.269	8	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [+sg], [+cons,+dor], 
N e nh e bh a	-12.554	-21.531	8	0	2	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [+sonorant,-cont], [+cons,+dor], [-high,-low], [+cons,+sonorant,+dor][+sonorant], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-nas,+lab][][+wb], 
