projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[-sonorant,-continuant,+dental][-syllabic,+sonorant]	10.042	0	0	26,444.158	26,444.228	null	(t|d|T)(m|n|N|r|l|L)
default	[-continuant,+uvular][-syllabic,+continuant]	10.159	0	0	26,418.549	26,418.62	null	(q|G|Q)(s|S|x|h|l|L)
default	[-syllabic,-low][+sonorant,+continuant,+dental]	11.123	0	0	26,392.983	26,393.055	null	(y|w)(l)
default	[+wb][-syllabic][-syllabic]	14.799	0	0	25,532.16	25,532.232	null	(<#|#>)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[-syllabic][-continuant][-syllabic]	12.339	0	0	25,379.445	25,379.516	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|m|n|N|r)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+palatal][-low,-high][+wb]	12.816	0	0	25,253.194	25,253.267	null	(c|z|C|S|N|L)(e|o)(<#|#>)
default	[-sonorant,+dental][-low,-high][+wb]	13.221	0	0	25,132.352	25,132.426	null	(t|d|T|s)(e|o)(<#|#>)
default	[-low,-high][-low][+wb]	12.042	0	0	25,032.94	25,033.017	null	(e|o)(y|w|i|u|e|o)(<#|#>)
default	[-syllabic][-syllabic][+wb]	12.929	0	0	24,936.784	24,936.86	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(<#|#>)
default	[-wb][+labial][-low,-back,-high]	12.302	0	0	24,855.038	24,855.116	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(p|b|P|m)(e)
default	[+dental][-syllabic][-syllabic]	12.5	0	0	24,774.722	24,774.801	null	(t|d|T|s|n|r|l)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+copy][][-low]	12.096	0	0	24,714.272	24,714.352	null	(X)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(y|w|i|u|e|o)
default	[+high][+sg][-low,-high]	12.285	0	0	26,422.851	26,422.933	null	(y|w|i|u)(P|T|C|K|Q|h)(e|o)
default	[+wb][-high][+wb]	12.518	0	0	24,606.527	24,606.61	null	(<#|#>)(a|e|o)(<#|#>)
default	[+wb][-low,-back,-high][+sonorant]	12.2	0	0	24,556.428	24,556.512	null	(<#|#>)(e)(m|n|N|r|l|L|i|u|a|e|o)
default	[-low][-low][-low,-high]	12.249	0	0	24,501.748	24,501.834	null	(y|w|i|u|e|o)(y|w|i|u|e|o)(e|o)
default	[+wb][+sonorant,-continuant,+dental][-low,-high]	12.365	0	0	24,453.612	24,453.7	null	(<#|#>)(n|r)(e|o)
default	[+syllabic,-back][+sonorant][+back,-high]	12.11	0	0	24,406.529	24,406.619	null	(i|a|e)(m|n|N|r|l|L|i|u|a|e|o)(o)
default	[+wb][-back][+cg]	12.084	0	0	24,358.567	24,358.658	null	(<#|#>)(y|i|a|e)(b|d|z|g|G)
default	[+wb][-low,-high][-sonorant,+dental]	12.222	0	0	24,316.627	24,316.72	null	(<#|#>)(e|o)(t|d|T|s)
default	[+wb][-syllabic][+wb]	12.122	0	0	24,274.414	24,274.508	null	(<#|#>)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(<#|#>)
default	[+wb][-low,-high][-low]	12.085	0	0	24,322.418	24,322.514	null	(<#|#>)(e|o)(y|w|i|u|e|o)
default	[-sonorant][-syllabic][-syllabic]	12.085	0	0	24,198.695	24,198.791	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|X)
default	[+wb][-low,-high][+labial]	11.854	0	0	24,168.071	24,168.169	null	(<#|#>)(e|o)(p|b|P|m)
default	[+wb][][+copy]	11.942	0	0	24,135.796	24,135.895	null	(<#|#>)(<#|#>|p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|i|u|a|e|o|X)(X)
