x	hx	logProbx	[]	[+wb][+wb]	[+wb][+wb]	[-ant][]	[+sg]	[+high][-high]	[+wb][+back][+wb]	[-low][+wb]	[-wb][+lab]	[-syll,-cons]	[+ant,-secart][-wb]	[+sonorant,-cont]	[+wb][-back][+wb]	[+voice][-voice,+cor]	[+delrel,+lab]	[+wb][-back][+back]	[+cont,+voice][]	[+wb][+high,+back][+wb]	[-cont,+secart][]	[-syll,-nas][+cons]	[-high][+high,-back]	[+low][-low]	[-syll][+wb]	[+syll,+high][]	[-back][+back]	[-low][+low][+back]	[+wb][][+wb]	[+syll][+syll]	[-low][+wb]	[+wb][+syll,+back][-back]	[+wb][+syll]	[-syll][-voice]	[-syll,+sonorant][+cons,+sonorant]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-voice][-voice,+ant,-secart]	[-wb][-voice,+lab]	[+syll][+low]	[+sonorant,-ant][-syll,-nas]	[+lab][+cor]	[-nas][-ant]	[+dor][+cor]	[-cont,-sg,+lab][-high]	[+wb][-syll,+sonorant]	[+sonorant,-sg,+ant][+low]	[+syll,-low][-cons]	[+lab][][+wb]	[-low][-delrel,+cor][+low]	violated_constraints
v u ny u N a	-6.086	-15.029	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [+wb][][+wb], [+cons,+sonorant,+dor][+sonorant], [-nas][-ant], 
dz u d i w a	-8.533	-17.475	8	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	[], [-syll,-cons], [+ant,-secart][-wb], [+syll,+high][], [+wb][+syll,+back][-back], [-nas][-delrel,+voice,-sg], [+syll,-low][-cons], [+lab][][+wb], 
w i zh e d a	-10.278	-19.22	8	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	[], [-ant][], [+high][-high], [-syll,-cons], [+cont,+voice][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-nas][-ant], [+wb][-syll,+sonorant], [-low][-delrel,+cor][+low], 
bh u b e zv a	-10.821	-19.763	8	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	[], [-ant][], [+sg], [+high][-high], [-wb][+lab], [+cont,+voice][], [+syll,+high][], [+wb][+syll,+back][-back], [-nas][-delrel,+voice,-sg], [-nas][-ant], [-cont,-sg,+lab][-high], 
m i b u N a	-7.015	-15.957	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	[], [+sonorant,-cont], [+wb][-back][+back], [+syll,+high][], [+wb][][+wb], [+cons,+sonorant,+dor][+sonorant], [-nas][-delrel,+voice,-sg], [+wb][-syll,+sonorant], 
sh e ch u sv a	-7.206	-16.148	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	[], [-ant][], [+wb][-back][+back], [+syll,+high][], [-nas][-ant], 
b u p a r a	-2.16	-11.103	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	[], [-wb][+lab], [+wb][+high,+back][+wb], [+syll,+high][], [-wb][-voice,+lab], 
ts e h u k a	-5.071	-14.013	8	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+ant,-secart][-wb], [+wb][-back][+back], [+syll,+high][], 
h e z u h a	-8.977	-17.919	8	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+ant,-secart][-wb], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], 
nh i nh e ny a	-8.971	-17.913	8	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	[], [+sg], [+high][-high], [+sonorant,-cont], [+syll,+high][], [-nas][-ant], [+wb][-syll,+sonorant], 
N u h e pf a	-13.766	-22.708	8	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	[], [+sg], [+high][-high], [-wb][+lab], [+sonorant,-cont], [+delrel,+lab], [+syll,+high][], [+wb][+syll,+back][-back], [+cons,+sonorant,+dor][+sonorant], [-wb][-voice,+lab], [+wb][-syll,+sonorant], [+lab][][+wb], 
v i ty u j a	-10.862	-19.804	8	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	[], [-ant][], [+voice][-voice,+cor], [+wb][-back][+back], [+cont,+voice][], [-cont,+secart][], [+syll,+high][], [-nas][-ant], 
vh a r u h a	-6.793	-15.735	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+cont,+voice][], [+wb][+high,+back][+wb], [+syll,+high][], 
p i ch i b a	-5.691	-14.634	8	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	[], [-ant][], [-wb][+lab], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-nas][-ant], [-cont,-sg,+lab][-high], [+lab][][+wb], 
s i k u bv a	-5.632	-14.574	8	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	[], [-wb][+lab], [+ant,-secart][-wb], [+delrel,+lab], [+wb][-back][+back], [+syll,+high][], [-cont,-sg,+lab][-high], [+lab][][+wb], 
dy o sv a j a	-11.116	-20.058	8	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	[], [-ant][], [+wb][+back][+wb], [+voice][-voice,+cor], [-cont,+secart][], [-low][+low][+back], [-nas][-ant], 
k e dz i sh a	-6.843	-15.785	8	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+ant,-secart][-wb], [+voice][-voice,+cor], [-high][+high,-back], [+syll,+high][], [-nas][-ant], 
f o dz e n a	-2.403	-11.345	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	[], [+sonorant,-cont], [+wb][+syll,+back][-back], [+sonorant,-sg,+ant][+low], 
bv u y i r a	-5.755	-14.698	8	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-syll,-cons], [+delrel,+lab], [+syll,+high][], [+wb][][+wb], [+wb][+syll,+back][-back], [+syll,-low][-cons], 
zv i z u zv a	-10.173	-19.116	8	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+ant,-secart][-wb], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [-nas][-ant], 
v a k e b a	-8.572	-17.514	8	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	[], [-wb][+lab], [+wb][-back][+wb], [+cont,+voice][], [+low][-low], [-nas][-delrel,+voice,-sg], [-cont,-sg,+lab][-high], [+lab][][+wb], 
mh a bh e p a	-13.073	-22.015	8	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	[], [+sg], [-wb][+lab], [+sonorant,-cont], [+wb][-back][+wb], [+low][-low], [-wb][-voice,+lab], [+wb][-syll,+sonorant], [+lab][][+wb], 
dzv e pf o s a	-21.484	-30.426	8	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [-wb][+lab], [+delrel,+lab], [+wb][-back][+back], [-cont,+secart][], [-back][+back], [-voice][-voice,+ant,-secart], [-wb][-voice,+lab], 
bh i n i b a	-5.809	-14.752	8	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	[], [+sg], [-wb][+lab], [+sonorant,-cont], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-cont,-sg,+lab][-high], [+lab][][+wb], 
t o y i ch a	-9.84	-18.782	8	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	[], [-ant][], [+wb][+back][+wb], [-syll,-cons], [-high][+high,-back], [+syll,+high][], [+wb][+syll,+back][-back], [-nas][-ant], [+syll,-low][-cons], 
bh a g u ty a	-11.226	-20.168	8	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	[], [-ant][], [+sg], [+voice][-voice,+cor], [+wb][+high,+back][+wb], [-cont,+secart][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-nas][-ant], [-low][-delrel,+cor][+low], 
p a ch e vh a	-11.663	-20.606	8	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	[], [-ant][], [+sg], [-wb][+lab], [+wb][-back][+wb], [+cont,+voice][], [+low][-low], [-nas][-ant], [+lab][][+wb], 
bv u vh o ty a	-14.967	-23.909	8	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	[], [-ant][], [+sg], [+high][-high], [+wb][+back][+wb], [-wb][+lab], [+voice][-voice,+cor], [+delrel,+lab], [+cont,+voice][], [-cont,+secart][], [+syll,+high][], [-nas][-ant], [-low][-delrel,+cor][+low], 
k i zh o r a	-8.153	-17.095	8	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+high][-high], [+wb][+back][+wb], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [-nas][-ant], 
zv a N e dy a	-16.211	-25.154	8	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	[], [-ant][], [+sonorant,-cont], [+wb][-back][+wb], [+cont,+voice][], [-cont,+secart][], [+low][-low], [+cons,+sonorant,+dor][+sonorant], [-nas][-delrel,+voice,-sg], [-nas][-ant], [-low][-delrel,+cor][+low], 
vh a vh o f a	-15.648	-24.59	8	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	[], [+sg], [+wb][+back][+wb], [-wb][+lab], [+cont,+voice][], [+low][-low], [-wb][-voice,+lab], [+lab][][+wb], 
n u m u zh a	-4.814	-13.757	8	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	[], [-ant][], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], [+wb][][+wb], [-nas][-ant], [+wb][-syll,+sonorant], 
ch i zv e h a	-8.997	-17.939	8	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sg], [+high][-high], [+cont,+voice][], [+syll,+high][], [-nas][-ant], 
z o p o ty a	-9.676	-18.618	8	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	[], [-ant][], [-wb][+lab], [+ant,-secart][-wb], [+cont,+voice][], [-cont,+secart][], [-wb][-voice,+lab], [-nas][-ant], [-low][-delrel,+cor][+low], 
g i nh o N a	-10.192	-19.135	8	0	0	0	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+high][-high], [+wb][+back][+wb], [+sonorant,-cont], [+wb][-back][+back], [+syll,+high][], [+wb][][+wb], [+cons,+sonorant,+dor][+sonorant], 
f i t a b a	-5.19	-14.132	8	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	[], [-wb][+lab], [+wb][-back][+wb], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-cont,-sg,+lab][-high], [+lab][][+wb], [-low][-delrel,+cor][+low], 
mh u dy i d a	-12.551	-21.493	8	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	[], [-ant][], [+sg], [+sonorant,-cont], [-cont,+secart][], [+syll,+high][], [+wb][+syll,+back][-back], [-nas][-delrel,+voice,-sg], [-nas][-ant], [+wb][-syll,+sonorant], [-low][-delrel,+cor][+low], 
zv o s o r a	-4.045	-12.987	8	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+voice][-voice,+cor], [+cont,+voice][], 
b a nh a nh a	-5.864	-14.806	8	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	[], [+wb][+wb], [+sg], [+sonorant,-cont], [+wb][][+wb], [-cont,-sg,+lab][-high], 
sh i y i g a	-5.855	-14.797	8	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-ant][], [-syll,-cons], [+syll,+high][], [-nas][-delrel,+voice,-sg], [+syll,-low][-cons], 
v i f e d a	-7.532	-16.475	8	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	[], [+high][-high], [-wb][+lab], [+cont,+voice][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-wb][-voice,+lab], [-low][-delrel,+cor][+low], 
dzv a m e k a	-6.974	-15.916	8	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	[], [-ant][], [+sonorant,-cont], [+wb][-back][+wb], [-cont,+secart][], [+low][-low], [-cont,-sg,+lab][-high], 
z a N a ch a	-10.082	-19.024	8	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [+wb][+wb], [-ant][], [+ant,-secart][-wb], [+sonorant,-cont], [+voice][-voice,+cor], [+cont,+voice][], [+cons,+sonorant,+dor][+sonorant], [-nas][-ant], 
nh i ch e k a	-7.487	-16.429	8	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	[], [-ant][], [+sg], [+high][-high], [+sonorant,-cont], [+syll,+high][], [-nas][-ant], [+wb][-syll,+sonorant], 
pf a p o j a	-9.864	-18.806	8	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+wb][+back][+wb], [-wb][+lab], [+delrel,+lab], [+low][-low], [-wb][-voice,+lab], [-nas][-ant], 
ty u ny o bh a	-11.007	-19.949	8	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	[], [-ant][], [+sg], [+high][-high], [+wb][+back][+wb], [-wb][+lab], [+sonorant,-cont], [-cont,+secart][], [+syll,+high][], [-nas][-ant], [+lab][][+wb], 
k i mh a g a	-4.472	-13.414	8	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+sonorant,-cont], [+wb][-back][+wb], [+syll,+high][], [-nas][-delrel,+voice,-sg], 
ty i nh i tsv a	-9.226	-18.168	8	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sg], [+sonorant,-cont], [-cont,+secart][], [+syll,+high][], [-nas][-ant], 
s e s e ny a	-4.199	-13.142	8	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	[], [+ant,-secart][-wb], [+sonorant,-cont], [-voice][-voice,+ant,-secart], [-nas][-ant], 
pf o zv a y a	-10.908	-19.851	8	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+wb][+back][+wb], [-syll,-cons], [+delrel,+lab], [+cont,+voice][], [-high][+high,-back], [-low][+low][+back], [+wb][+syll,+back][-back], [-nas][-ant], 
dy i mh e g a	-8.239	-17.181	8	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+sg], [+high][-high], [+sonorant,-cont], [-cont,+secart][], [+syll,+high][], [-nas][-delrel,+voice,-sg], 
sh u p o h a	-8.266	-17.208	8	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+sg], [+high][-high], [+wb][+back][+wb], [-wb][+lab], [+syll,+high][], [-wb][-voice,+lab], 
p a sh u pf a	-7.188	-16.13	8	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	[], [-ant][], [-wb][+lab], [+delrel,+lab], [+wb][+high,+back][+wb], [+syll,+high][], [-wb][-voice,+lab], [-nas][-ant], [+lab][][+wb], 
pf a w i n a	-3.84	-12.782	8	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	[], [-syll,-cons], [+sonorant,-cont], [+delrel,+lab], [+syll,+high][], [+wb][][+wb], [+sonorant,-sg,+ant][+low], 
v u z e sh a	-10.691	-19.634	8	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+high][-high], [+ant,-secart][-wb], [+voice][-voice,+cor], [+cont,+voice][], [+syll,+high][], [+wb][+syll,+back][-back], [-nas][-ant], 
ty e bh a j a	-8.923	-17.866	8	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sg], [-wb][+lab], [+wb][-back][+wb], [-cont,+secart][], [-low][+low][+back], [-nas][-ant], 
g a ny o y a	-12.212	-21.155	8	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	[], [+wb][+back][+wb], [-syll,-cons], [+sonorant,-cont], [-high][+high,-back], [+low][-low], [+wb][][+wb], [+wb][+syll,+back][-back], [-nas][-ant], [+syll,-low][-cons], 
ts e sh a dy a	-10.315	-19.258	8	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	[], [-ant][], [+ant,-secart][-wb], [+wb][-back][+wb], [-cont,+secart][], [-low][+low][+back], [-nas][-delrel,+voice,-sg], [-nas][-ant], 
pf u r e k a	-3.863	-12.805	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+high][-high], [+delrel,+lab], [+syll,+high][], [+wb][+syll,+back][-back], 
dzv u m e zv a	-9.616	-18.558	8	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	[], [-ant][], [+high][-high], [+sonorant,-cont], [+cont,+voice][], [-cont,+secart][], [+syll,+high][], [+wb][+syll,+back][-back], [-nas][-ant], [-cont,-sg,+lab][-high], 
bv e pf e dzv a	-8.529	-17.472	8	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	[], [-ant][], [-wb][+lab], [+delrel,+lab], [-cont,+secart][], [-wb][-voice,+lab], [-nas][-ant], [-cont,-sg,+lab][-high], 
pf i tsv a n a	-7.132	-16.074	8	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	[], [-ant][], [+sonorant,-cont], [+wb][-back][+wb], [+delrel,+lab], [-cont,+secart][], [+syll,+high][], [-nas][-ant], [+sonorant,-sg,+ant][+low], 
sv a dzv i n a	-7.015	-15.957	8	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	[], [-ant][], [+sonorant,-cont], [+wb][-back][+wb], [-cont,+secart][], [+syll,+high][], [-nas][-ant], [+sonorant,-sg,+ant][+low], 
z i v e nh a	-8.143	-17.086	8	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+high][-high], [-wb][+lab], [+ant,-secart][-wb], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], 
n e k i ch a	-4.974	-13.916	8	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	[], [-ant][], [+sonorant,-cont], [-high][+high,-back], [+syll,+high][], [-nas][-ant], [+wb][-syll,+sonorant], 
ch o vh o p a	-8.208	-17.15	8	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	[], [-ant][], [+sg], [-wb][+lab], [+cont,+voice][], [-wb][-voice,+lab], [+lab][][+wb], 
bv e tsv u vh a	-14.047	-22.989	8	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	[], [-ant][], [+sg], [-wb][+lab], [+voice][-voice,+cor], [+delrel,+lab], [+wb][-back][+back], [+cont,+voice][], [-cont,+secart][], [+syll,+high][], [-nas][-ant], [-cont,-sg,+lab][-high], [+lab][][+wb], 
y e ch u bv a	-9.273	-18.215	8	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	[], [-ant][], [+high][-high], [-wb][+lab], [-syll,-cons], [+delrel,+lab], [+syll,+high][], [-nas][-ant], [-cont,-sg,+lab][-high], [+wb][-syll,+sonorant], [+lab][][+wb], 
sv e ch e m a	-5.338	-14.28	8	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	[], [-ant][], [+sonorant,-cont], [-nas][-ant], [-cont,-sg,+lab][-high], [+lab][][+wb], 
h a w a bv a	-7.18	-16.122	8	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	[], [+sg], [-wb][+lab], [-syll,-cons], [+delrel,+lab], [+wb][+high,+back][+wb], [-cont,-sg,+lab][-high], [+lab][][+wb], 
